更新时间,#genre#
风云音乐,http://112.234.23.81:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
音乐现场,http://123.117.172.129:8118/rtp/239.3.1.70:4120$1920x1080
音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
音乐调频广播,http://120.55.49.231:3095/rtp/233.50.201.82:5140
🏛经典剧场,#genre#
笑傲江湖,https://vip.ffzy-play7.com/20221129/7696_58fbd289/index.m3u8
天龙八部,http://cfss.cc/cdn/hy/23903123.flv
鹿鼎记,https://lunbo.freetv.top/yy/1354658049$1920x1080
仙剑奇侠传,https://lunbo.freetv.top/yy/1382749903$1920x1080
三国演义,https://lunbo.freetv.top/yy/1354930932$1920x1080
新白娘子传奇,https://lunbo.freetv.top/yy/1354930969$1920x1080
封神榜,http://cfss.cc/cdn/hy/23749096.flv
射雕英雄传,http://cfss.cc/cdn/hy/23824164.flv
